id,name,type,parentId,areaCode
710401,台中市,4,710400,1886
710501,台南市,4,710500,1886
710601,新竹市,4,710600,1886
710701,嘉义市,4,710700,1886
710801,新北市,4,710800,1886
710901,宜兰县,4,710900,1886
711001,桃园市,4,711000,1886
711101,新竹县,4,711100,1886
711201,苗栗县,4,711200,1886
711301,彰化县,4,711300,1886
711401,南投县,4,711400,1886
711501,云林县,4,711500,1886
711601,嘉义县,4,711600,1886
711701,屏东县,4,711700,1886
711801,澎湖县,4,711800,1886
711901,花莲县,4,711900,1886
712001,台东县,4,712000,1886
712101,金门县,4,712100,1886
712201,连江县,4,712200,1886
810101,中西区,4,810100,1852
810102,湾仔区,4,810100,1852
810103,东区,4,810100,1852
810104,南区,4,810100,1852
810105,油尖旺区,4,810100,1852
810106,深水埗区,4,810100,1852
810107,九龙城区,4,810100,1852
810108,黄大仙区,4,810100,1852
810109,观塘区,4,810100,1852
810110,荃湾区,4,810100,1852
810111,屯门区,4,810100,1852
810112,元朗区,4,810100,1852
810113,北区,4,810100,1852
810114,大埔区,4,810100,1852
810115,西贡区,4,810100,1852
810116,沙田区,4,810100,1852
810117,葵青区,4,810100,1852
810118,离岛区,4,810100,1852
820101,花地玛堂区,4,820100,1853
820102,花王堂区,4,820100,1853
820103,望德堂区,4,820100,1853
820104,大堂区,4,820100,1853
820105,风顺堂区,4,820100,1853
820106,嘉模堂区,4,820100,1853
820107,路凼填海区,4,820100,1853
820108,圣方济各堂区,4,820100,1853
